channel,channel_name,source,connector_label,preamp_gain_dB,phantom,polarity,fader_dB,muted,main1_house,main2,main3,main4,HPF_Hz,LPF_Hz,gate_model,gate_thr_dB,gate_range_ratio,gate_rel_ms,eq_model,dyn_model,dyn_thr_dB,dyn_ratio,dyn_att_ms,bus_sends,matrix_sends
1,Kick,A-1,Kick,30.5,,,-14.4,,0.0,OFF,OFF,OFF,37/24dB,10018/6dB,GATE,-41.5,26.5,400,STD,NSTR,,4:1,4.900000095,STAGE MON@-32.1(pre) | BUS3@-11.6(pre) | DRUMS@-0.5(pre) | Inst Verb@-30.0,
2,Snare,A-2,Snare TOP,20.5,,,-14.3,,0.0,OFF,OFF,OFF,82/24dB,20000/6dB,EXP,-39,3,634,STD,NSTR,,4:1,5,STAGE MON@-30.2(pre) | BUS3@-56.8(pre) | DRUMS@-0.4(pre) | Inst Verb@-18.0,
3,HH,A-3,SNARE BTTM,15.5,,,-26.4,,0.0,OFF,OFF,OFF,82/24dB,20000/6dB,EXP,-51.5,1.5,475,STD,NSTR,,4:1,3,DRUMS@-12.7(pre) | Inst Verb@-9.8,
4,Rack 1,A-4,Rack 1,15.5,,,-18.4,,0.0,OFF,OFF,OFF,60/24dB,9804/12dB,EXP,-27.5,3.5,598,STD,COMP,-26.5,2.5,5,DRUMS@-2.7(pre) | Inst Verb@-8.1,
5,Rack 2,A-5,Rack 2,18,,,-18.9,,0.0,OFF,OFF,OFF,56/24dB,9804/12dB,EXP,-32,2,598,STD,COMP,-22.5,2.5,5,DRUMS@-2.1(pre) | Inst Verb@-7.4,
6,Floor,A-6,Floor,13,,,-19.2,,0.0,OFF,OFF,OFF,60/24dB,9804/12dB,EXP,-22.5,2.5,598,STD,COMP,-24,2.5,5,DRUMS@-2.1(pre) | Inst Verb@-7.9,
7,OHs,A-7,OHs,10.5,48V,,-19.6,,0.0,OFF,OFF,OFF,233/24dB,off,off,,,,STD,COMP,-22,2,25,DRUMS@-19.2(pre) | Inst Verb@-22.0,
8,Bass,A-9,Bass,28,48V,,-11.2,,0.0,OFF,OFF,OFF,31/24dB,4377/12dB,76LA,,8,6,STD,EXP,-52,3,0,STAGE MON@-26.0(pre) | BUS2@-16.8(pre) | BROADCAST@-3.0,
9,E Gtr,A-10,E Gtr,28,,,-3.3,,0.0,OFF,OFF,OFF,100/24dB,off,off,,,,STD,COMP,-22,3,20,STAGE MON@-22.1 | BUS3@-19.2(pre) | BROADCAST@-6.0 | Inst Verb@-20.0,
10,AC Gtr,A-16,ACOUSTIC,18,,,-3.0,,0.0,OFF,OFF,OFF,100/24dB,off,off,,,,STD,COMP,-22,3,20,STAGE MON@-29.3(pre) | BROADCAST@-6.0 | Inst Verb@-16.0 | Vox Verb@-5.3,
11,Keys 1,A-11,KEYS 1,35.5,,,-9.8,,0.0,OFF,OFF,OFF,122/24dB,off,off,,,,STD,COMP,-29.5,2,25,STAGE MON@-22.4(pre) | BUS2@-12.5(pre) | BUS3@-2.0(pre) | BROADCAST@-4.0 | Inst Verb@-18.0,
12,Keys 2,A-13,Keys 2,28,,,-9.7,,0.0,OFF,OFF,OFF,123/24dB,off,off,,,,STD,COMP,-28.5,2,25,STAGE MON@-22.4(pre) | BUS2@-20.2(pre) | BUS3@-14.1(pre) | BUS4@-29.7(pre) | BUS5@-70.8(pre) | BROADCAST@-4.0 | Inst Verb@-18.0,
13,Vox 1,A-26,MARIE,15.5,,,-0.7,,0.0,OFF,OFF,OFF,200/24dB,off,EXP,-48,1.299999952,753,STD,COMP,-37,4,30,STAGE MON@-4.9 | BUS2@-22.4 | BUS3@-12.2 | BROADCAST@0.0 | WL BUS P16@-6.0 | Delay@-6.7 | Choir Bus@-7.8 | Vox Verb@-12.0 | Slap@-9.8,
14,Vox 2,A-30,DEHIL,15.5,,,-0.9,,0.0,OFF,OFF,OFF,200/24dB,off,EXP,-48,1.299999952,753,STD,COMP,-37,4,30,STAGE MON@-4.9 | BUS2@-4.6 | BUS3@-12.6 | BROADCAST@0.0 | WL BUS P16@-6.0 | Delay@-7.2 | Choir Bus@-8.4 | Vox Verb@-12.0 | Slap@-8.7,
15,Vox 3,A-27,GABBY,15.5,,,-0.1,,0.0,OFF,OFF,OFF,200/24dB,off,EXP,-48,1.299999952,753,STD,COMP,-37,4,30,STAGE MON@-5.2 | BUS2@-6.4 | BUS3@-11.1 | BROADCAST@0.0 | WL BUS P16@-6.0 | Delay@-7.0 | Choir Bus@-8.3 | Vox Verb@-12.0 | Slap@-9.2,
16,Vox 4,A-29,PEGGY,15.5,,,-0.3,,0.0,OFF,OFF,OFF,200/24dB,off,EXP,-48,1.299999952,753,STD,COMP,-37,4,30,STAGE MON@-5.2 | BUS2@-22.9 | BUS4@-12.8 | BROADCAST@0.0 | DRUMS@-16.0 | WL BUS P16@-6.0 | Delay@-6.7 | Vox Verb@-12.0 | Slap@-9.2,
17,Sax,A-15,TRACK,5.5,,,-7.1,,0.0,OFF,OFF,OFF,60/24dB,off,off,,,,STD,COMP,-22,2,25,STAGE MON@-14.0 | BROADCAST@-6.0 | WL BUS P16@-9.0(pre),
18,LOOP,A-15,TRACK,5.5,,,-8.1,,0.0,OFF,OFF,OFF,60/24dB,off,off,,,,STD,COMP,-22,2,25,STAGE MON@-12.0(pre) | BROADCAST@-6.0 | WL BUS P16@-3.0(pre) | TALKBACKS@-4.8(pre),
19,LEAD1,OFF,,,,,-11.0,,0.0,OFF,OFF,OFF,60/24dB,off,off,,,,STD,COMP,-22,2,25,WL BUS P16@-4.2(pre),
